CurrentUTCTimeInMS=1615076834
MAC Address,Millis,Current Speed,Current Latitude,Current Longitude,Current Altitude,Satellites In View,Current Temperature,Current Pressure,Millivolts,Acceleration X,Acceleration Y,Acceleration Z,Annotation
80:65:99:A1:69:A4,0,0.0,0,0,0,0,0,0,0,0,0,0,start_line
80:65:99:A1:69:A4,100,0.154785939718211,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,200,0.309571879436422,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,300,0.46435781915463303,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,400,0.619143758872844,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,500,0.773929698591055,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,600,0.928715638309266,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,700,1.083501578027477,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,800,1.238287517745688,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,900,1.393073457463899,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1000,1.54785939718211,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1100,1.702645336900321,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1200,1.857431276618532,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1300,2.012217216336743,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1400,2.167003156054954,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1500,2.3217890957731653,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1600,2.4765750354913765,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1700,2.6313609752095877,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1800,2.786146914927799,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,1900,2.94093285464601,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2000,3.0957187943642213,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2100,3.2505047340824325,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2200,3.4052906738006437,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2300,3.560076613518855,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2400,3.714862553237066,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2500,3.8696484929552772,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2600,4.024434432673488,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2700,4.1792203723917,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2800,4.334006312109911,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,2900,4.488792251828122,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3000,4.643578191546333,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3100,4.798364131264544,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3200,4.953150070982756,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3300,5.107936010700967,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3400,5.262721950419178,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3500,5.417507890137389,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3600,5.5722938298556,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3700,5.727079769573812,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3800,5.881865709292023,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,3900,6.036651649010234,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4000,6.191437588728445,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4100,6.346223528446656,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4200,6.501009468164868,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4300,6.655795407883079,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4400,6.81058134760129,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4500,6.965367287319501,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4600,7.120153227037712,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4700,7.274939166755924,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4800,7.429725106474135,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,4900,7.584511046192346,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5000,7.739296985910557,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5100,7.894082925628768,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5200,8.048868865346979,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5300,8.20365480506519,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5400,8.358440744783401,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5500,8.513226684501612,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5600,8.668012624219823,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5700,8.822798563938035,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5800,8.977584503656246,0,0,0,0,0,0,0,0,0,0,
80:65:99:A1:69:A4,5900,9.132370443374457,0,0,0,0,0,0,0,0,0,0,
